session,station_id,no_of_tokens,start_time,burn_time,mint_time,mint_latency,full_cycle_latency,sep_gas_eth,bsc_gas_bnb,lz_fee_eth,ack_fee_bnb,status
1749829297,STATION27,21,2025-06-13T15:41:37.350Z,2025-06-13T15:44:00.000Z,2025-06-13T15:42:59.000Z,59,120,0.00000379199095638,0.001377906,0.000441961327558181,0.001375241284248231,Success
1749829448,STATION28,50,2025-06-13T15:44:08.987Z,2025-06-13T15:46:00.000Z,2025-06-13T15:45:25.000Z,61,96,0.000002659086255441,0.001377906,0.000441961327558181,0.001375241284248231,Success
1749829569,STATION29,44,2025-06-13T15:46:09.637Z,2025-06-13T15:48:00.000Z,2025-06-13T15:47:25.000Z,61,96,0.000002290041667056,0.001377906,0.000441961327558181,0.000976070886481932,Success
1749829689,STATION30,43,2025-06-13T15:48:09.616Z,2025-06-13T15:50:12.000Z,2025-06-13T15:49:26.000Z,62,108,0.000001619333244876,0.001377798,0.000441961327558181,0.000976070886481932,Success
1749829821,STATION31,12,2025-06-13T15:50:21.047Z,2025-06-13T15:52:24.000Z,2025-06-13T15:51:46.000Z,70,108,0.000001583538730095,0.00137787,0.000441961327558181,0.00074275549421299,Success
1749829953,STATION32,17,2025-06-13T15:52:33.083Z,2025-06-13T15:54:24.000Z,2025-06-13T15:53:46.000Z,58,96,0.000001375514574006,0.00137787,0.000441961327558181,0.00074275549421299,Success
1749830073,STATION33,34,2025-06-13T15:54:33.325Z,2025-06-13T15:56:36.000Z,2025-06-13T15:55:57.000Z,69,108,0.000001111158469674,0.001377906,0.000441961327558181,0.000623579381033037,Success
1749830204,STATION34,44,2025-06-13T15:56:44.621Z,2025-06-13T16:01:12.000Z,2025-06-13T16:00:28.000Z,64,108,0.000000827887441887,0.001377834,0.000441961327558181,0.000623579381033037,Success
1749830480,STATION35,21,2025-06-13T16:01:20.639Z,2025-06-13T16:03:24.000Z,2025-06-13T16:02:48.000Z,60,96,0.000000593807984286,0.001377906,0.000441961327558181,0.000556215719265698,Success
1749830614,STATION36,12,2025-06-13T16:03:34.789Z,2025-06-13T16:09:00.000Z,2025-06-13T16:07:39.000Z,63,144,0.000000433669002354,0.00137787,0.000441961327558181,0.00048622827408717,Success
1749830946,STATION37,22,2025-06-13T16:09:06.662Z,2025-06-13T16:10:48.000Z,2025-06-13T16:10:20.000Z,56,84,0.000000587623169793,0.001377906,0.000441961327558181,0.00048622827408717,Success
1749831059,STATION38,34,2025-06-13T16:10:59.933Z,2025-06-13T16:13:12.000Z,2025-06-13T16:12:15.000Z,51,108,0.00000050068717479,0.001377906,0.000441961327558181,0.000435224623689426,Success
1749831201,STATION39,38,2025-06-13T16:13:21.794Z,2025-06-13T16:15:00.000Z,2025-06-13T16:14:35.000Z,59,84,0.000000533945238618,0.001377906,0.000441961327558181,0.000435224623689426,Success
1749831311,STATION40,48,2025-06-13T16:15:11.010Z,2025-06-13T16:17:00.000Z,2025-06-13T16:16:21.000Z,57,96,0.000000618821195289,0.001377906,0.000441961327558181,0.000435224623689426,Success
1749831429,STATION41,25,2025-06-13T16:17:09.841Z,2025-06-13T16:20:48.000Z,2025-06-13T16:20:22.000Z,70,96,0.000000296311855521,0.001377906,0.000441961327558181,0.000435224623689426,Success
1749831657,STATION42,25,2025-06-13T16:20:57.748Z,2025-06-13T16:23:36.000Z,2025-06-13T16:22:23.000Z,59,132,0.000000231569926203,0.001377906,0.000441961327558181,0.000435224623689426,Success
1749831823,STATION43,31,2025-06-13T16:23:43.238Z,2025-06-13T16:26:48.000Z,2025-06-13T16:25:03.000Z,63,168,0.000000520814567559,0.001377906,0.000441961327558181,0.000435224623689426,Success
1749832012,STATION44,33,2025-06-13T16:26:52.078Z,2025-06-13T16:29:48.000Z,2025-06-13T16:28:44.000Z,56,120,0.000000492881586714,0.001377906,0.000441961327558181,0.000435224623689426,Success
1749832196,STATION45,44,2025-06-13T16:29:56.218Z,2025-06-13T16:32:48.000Z,2025-06-13T16:31:14.000Z,62,156,0.000000506977313304,0.001377906,0.000441961327558181,0.000435224623689426,Success
1749832372,STATION46,45,2025-06-13T16:32:52.938Z,N/A,2025-06-13T16:34:44.000Z,56,0,0.000000326506953069,0.001377906,0.000441961327558181,0.000435224623689426,Failed
1749832765,STATION47,38,2025-06-13T16:39:25.385Z,2025-06-13T16:43:24.000Z,2025-06-13T16:40:45.000Z,57,216,0.00002806540437723,0.001377906,0.000441961327558181,0.000505794216329568,Success
1749833015,STATION48,39,2025-06-13T16:43:35.906Z,2025-06-13T16:44:48.000Z,2025-06-13T16:44:56.000Z,56,48,0.000001125825876252,0.001377906,0.000441961327558181,0.000505794216329568,Success
1749833101,STATION49,33,2025-06-13T16:45:01.962Z,2025-06-13T16:48:00.000Z,2025-06-13T16:46:27.000Z,63,156,0.000001403814945852,0.001377906,0.000441961327558181,0.000505794216329568,Success
1749833285,STATION50,24,2025-06-13T16:48:05.696Z,N/A,2025-06-13T16:50:28.000Z,64,0,0.000000569428652496,0.001377906,0.000441961327558181,0.000505794216329568,Failed
